id,question,A,B,C,D.,answer,category
229,"Linguagem de Programação Orientada a Objetos (LPOO) precisa suportar encapsulamento, polimorfismo e herança, qual opção não é LPOO.",Java,Smalltalk,C++,SQL,C,Information security 
230,"Comparado com linguagens de programação de alto nível, programas bem escritos em linguagem de máquina são caracterizados por:","A eficiência de execução do programa é baixa, a eficiência de escrita é baixa e a legibilidade é forte","A eficiência de execução do programa é baixa, a eficiência de escrita é alta e a legibilidade é fraca","A eficiência de execução do programa é alta, a eficiência de escrita é baixa e a legibilidade é forte","A eficiência de execução do programa é alta, a eficiência de escrita é baixa e a legibilidade é fraca",C,Application
231,Qual dos seguintes não faz parte da estrutura de software de sistemas de informação,sistema operacional,rede de comunicações,banco de dados,software de gerenciamento,B,Software architecture
232,Qual é o peso máximo da métrica do RIP,7,10,15,16,D.,Software architecture
233,Qual das seguintes afirmações sobre volumes espelhados está incorreta,Um volume espelhado só pode ser criado em dois discos dinâmicos,"Ao criar um volume espelhado, o tamanho do espaço de volume de domínio alocado nos dois discos dinâmicos deve ser exatamente o mesmo","Após a interrupção do volume espelhado, ele se tornará um volume simples independente, mas ainda usará a letra do drive original","Ao excluir um volume espelhado, os arquivos no volume espelhado também serão excluídos ao mesmo tempo",D.,Software architecture
234,Qual das seguintes afirmações sobre criptografia de arquivos DFS está incorreta?,Apenas arquivos no formato NTFS podem usar criptografia EFS,"EFS só pode criptografar arquivos, não pastas",Não é possível criptografar arquivos ou pastas compactados,"Se um arquivo criptografado for copiado ou movido para um volume formatado com NTFS, o arquivo será descriptografado",A,System architecture
235,Qual das seguintes tecnologias pode garantir a segurança da transmissão de dados?,Virtual Private Network (VPN),autenticação de senha fraca,Rede Wi-Fi pública,protocolo de transporte não criptografado,D.,Software architecture
236,"Na ferramenta NTBACKUP de backup, a descrição sobre o tipo de backup centralizado está incorreta:","Ao realizar um backup normal, todos os arquivos selecionados serão backupeados independentemente do atributo de arquivo de arquivo","Os três tipos de backup normal, incremental e diferencial cancelarão o atributo de arquivo dos arquivos backupeados após o backup",O backup diário só backupa arquivos que foram modificados naquele dia,"O backup de cópia é basicamente o mesmo que o backup normal, exceto que não cancela o atributo de arquivo dos arquivos backupeados após o backup",A,System architecture
237,"Na tabela de roteamento, as exclusões são:",Endereço IP deste nó,Endereço IP do nó de destino,Máscara de sub-rede do nó de destino,Endereço IP do próximo salto,A,Information security 
238,Qual é a taxa de transmissão igual a,bits transferred per second,Number of possible signal changes per second,Cycles transferred per second,bytes transferred per second,C,Information security 
239,"Atualmente, as pessoas têm se concentrado na questão do ""triple play"". O que o ""três redes"" aqui se refere?","GSM, GPS, GPRS","Rede de telecomunicações, rede de computadores, rede de TV a cabo","Rede de banda larga, World Wide Web, rede local","Rede de comunicação sem fio, ADSL, rede óptica de fibra",A,Application
240,"To configure the NFS server, which file is mainly configured on the server side.",/etc/rc.d/rc.inet1,/etc/rc.d/rc.M,/etc/exports,/etc/rc.d/rc.S,D.,Software architecture
241,"Ao configurar o servidor proxy, se o cache de trabalho do servidor proxy for definido para 64MB, a linha de configuração deve ser:",cache64MB,cache_dir ufs /usr/local/squid/cache 10000 16 256,cache_mgr 64MB,cache_mem 64MB,A,Information security 
242,As questões envolvidas na gestão de segurança incluem questões de segurança para garantir um trabalho confiável de gerenciamento de rede e a proteção dos usuários da rede e dos objetos de gerenciamento de rede. Qual delas pertence ao conteúdo de gestão de segurança?,Configurar os parâmetros de trabalho do dispositivo,Coletar dados relacionados ao desempenho da rede,Controlar e manter os direitos de acesso,Monitorar falhas,A,Application
243,A descrição a seguir sobre o arquivo /etc/fstab está correta:,O arquivo fstab pode apenas descrever o sistema de arquivos pertencente ao Linux,CD_ROM e Disquete devem ser carregados automaticamente,O sistema de arquivos descrito no arquivo fstab não pode ser desmontado,Carregar o sistema de arquivos de acordo com a descrição do arquivo fstab na inicialização,D.,Infrastructure
244,"Ao acessar arquivos através dos nomes dos arquivos, o processo interno de operação do sistema de arquivos é através:",o sistema procura no diretório pelos locais de acesso aos dados do arquivo.,o nome do arquivo encontra diretamente os dados do arquivo e executa operações de acesso.,"o nome do arquivo procura pelo i-node correspondente no diretório, e acessa os dados do arquivo através do i-node.","encontra o super bloco correspondente no nome do arquivo, encontra o i-node correspondente no super bloco e acessa os dados do arquivo através do i-node",C,Software architecture
245,"Em relação à instalação e desinstalação do sistema de arquivos, a seguinte descrição é correta:","Se o disco não estiver desmontado, o drive não pode ser aberto",O sistema pode montar dispositivos CD-ROM independentemente de haver um disco no drive,O ponto de instalação do sistema de arquivos de instalação só pode estar sob /mnt,mount /dev/fd0 /floppy O diretório /floppy neste comando é gerado automaticamente,B,Information security 
246,Qual das seguintes medidas pode impedir que pessoal não autorizado acesse dados sensíveis?,Implementar um firewall robusto,Sem mecanismo de autenticação,Controle de Acesso e Controle de Privilégios,Compartilhar dados sensíveis abertamente,A,Network 
247,A distinção entre processo e programa não inclui:,"Um programa é um conjunto de instruções estáticas ordenadas, e um processo é um processo de execução de um programa","Um programa só pode ser executado em primeiro plano, enquanto um processo pode ser executado em primeiro plano ou em segundo plano","Os programas podem ser salvos por um longo tempo, o progresso é temporário","Os programas não têm estado, enquanto os processos são estado",D.,Application
248,"O acesso de autoridade do arquivo exer1 é rw-r–r–, e agora é necessário aumentar a autoridade de execução de todos os usuários e a autoridade de escrita dos usuários no mesmo grupo. Os seguintes comandos estão corretos:",chmod a+x g+w exer1,chmod 765 exer1,chmod o+x exer1,chmod g+w exer1,D.,Information security 
249,"Em relação aos comandos de arquivamento e compressão, a seguinte descrição está correta:",Use o comando uncompress para descomprimir o arquivo comprimido com a extensão .zip gerado pelo comando compress,Os comandos unzip e gzip podem descomprimir o mesmo tipo de arquivo,Arquivos tar e arquivos comprimidos podem ser descomprimidos pelo comando gzip,O arquivo arquivado pelo comando tar também é um arquivo comprimido,A,Information security 
250,Não são as funções e recursos que o shell possui,pipeline,Redirecionamento de entrada e saída,execute processo em background,handler command,C,Network 
251,As seguintes operações sobre a variável de shell FRUIT são corretas:,Atribuir um valor à variável: $FRUIT=apple,Exibir o valor da variável: fruit=apple,Exibir o valor da variável: echo $FRUIT,"Determinar se a variável tem um valor: [ -f ""$FRUIT"" ]",A,Information security 
252,O daemon de fundo cron (cron background daemon) é usado para?,Responsável pelo compartilhamento de arquivos na rede,Administrando o Subsistema de Impressão,Gerenciamento do sistema de rastreamento de informações e erros,Agendamento de tarefas diárias no sistema de gerenciamento,A,Application
253,Quais dos seguintes são dispositivos de bloco na maioria das distribuições Linux?,Porta serial,disco rígido,terminal virtual,impressora,D.,Application
254,Qual dos seguintes comandos Linux pode exibir o conteúdo uma página por vez?,pause,cat,more,grep,C,Application
255,Como você sabe quanto espaço você tem disponível no diretório atual?,Use df,Use du /,Use du .,Use df .,D.,Database
256,How to change the permission settings of a file?,attrib,chmod,change,file,A,Operating system
257,Qual é o primeiro passo na estabelecimento de um processo de testes automatizados?,Desenhar relatórios de testes automatizados,Determinar o escopo do teste,Escolher uma ferramenta de testes automatizada,Escrever scripts de testes automatizados,B,Network 
258,"If you need to find out which package the /etc/my.conf file belongs to, you can do ?",rpm -q /etc/my.conf,rpm -requires /etc/my.conf,rpm -qf /etc/my.conf,rpm -q | grep /etc/my.conf,D.,Network 
259,"Se o sistema atual está operando no nível 3, como ele pode ser convertido para o nível 5 sem reiniciar o sistema?",Set level = 5,telinit 5,run 5,ALT-F7-5,D.,Application
260,Qual comando é utilizado para alterar as configurações do disco rígido IDE?,hdparam,ideconfig,hdparm,hddparm,A,Software architecture
261,Qual dos seguintes comandos lista todas as tarefas definidas para serem executadas em um horário específico no futuro?,atq,cron,batch,at,B,Software architecture
262,"A função do seguinte comando é: set PS1=""[\u\w\t]\$"" ; export PS1?",Alterar a mensagem de erro do prompt,alterar o prompt de comando,alterar alguns parâmetros do terminal,Alterar o prompt de comando secundário,B,Information security 
263,"Como administrador, você deseja colocar um arquivo .bashrc em cada diretório de novo usuário, então em qual diretório você deve colocar este arquivo, para que o novo usuário copie automaticamente este arquivo para o seu próprio diretório quando criar um diretório home?",/etc/skel/,/etc/default/,/etc/defaults/,/etc/profile.d/,C,Information security 
264,"No bash, o que o comando export faz?",Executar comandos em um subshell,Tornar o histórico de comandos disponível em subshells,Definir variáveis de ambiente para outras aplicações,Fornecer partições NFS para uso por outros sistemas na rede,B,Application
265,"In a system using shadow passwords, which are the correct permissions for the two files /etc/passwd and /etc/shadow?","-rw-r----- , -r-----","-rw-r--r-- , -r--r--r--","-rw-r--r-- , -r--------","-rw-r--rw- , -r-----r--",A,Software architecture
266,Qual dos seguintes parâmetros pode excluir um usuário e excluir o diretório home do usuário ao mesmo tempo?,rmuser -r,deluser -r,userdel -r,usermgr -r,A,Application
267,"Existe um programa de backup chamado mybackup, que precisa ser executado uma vez às 13h e às 20h, de segunda a sexta-feira. Qual dos seguintes itens crontab pode completar esse trabalho?","0 13,20 * * 1,5 mybackup","0 13,20 * * 1,2,3,4,5 mybackup"," * 13,20 * * 1,2,3,4,5 mybackup","0 13,20 1,5 * * mybackup",B,Operating system
268,Qual dos seguintes módulos Python é usado para manipular expressões regulares?,os,re,sys,math,A,Application
269,Como desmontar um sistema de arquivos montado do sistema atual?,u mount,dismount,mount -u,Remova esta entrada de sistema de arquivos do /etc/fstab,B,Application
270,"Se seu umask está definido como 022, as permissões padrão dos arquivos que você cria são ?",----w--w-,-w--w----, r-xr-x---,rw-r--r--,C,Software architecture
271,Como encontrar o caminho de um comando binário Xconfigurator em um comando?,apropos Xconfigurator,find Xconfigurator,where Xconfigurator,which Xconfigurator,A,Network 
272,Qual comando é usado para montar todos os sistemas de arquivos definidos em /etc/fstab?,amount,mount -a,fmount,mount -f,C,Application
273,Quais permissões o usuário não precisa para executar um script?,read,write,execute,browse on the directory,A,Middleware
274,"No Linux, como identificar a segunda partição estendida do disco rígido escravo conectado ao IDE0?",/dev/hdb2, /dev/hd1b2, /dev/hdb6,/dev/hd1b6,D.,Information security 
275,Como defino a prioridade de um processo quando a aplicação inicia?,A.priority,B. nice,C. renice,D. setpri,D.,Software architecture
276,"In bash, adding ""1>&2"" after a command means?",A. Redirect standard error output to standard input,B. Standard input redirected to standard error output,C. Standard output redirected to standard error output,D. Redirect standard output to standard input,D.,Application
277,Qual dos seguintes comandos pode copiar f1.txt para f2.txt?,cp f1.txt | f2.txt,cat f1.txt | f2.txt,cat f1.txt > f2.txt,copy f1.txt | f2.txt,A,Network 
278,Qual é o comando para exibir as últimas poucas linhas de um arquivo?,tac,tail,rear,last,A,Application
279,"Ao realizar backup de dados online, qual das seguintes medidas pode ajudar a garantir a segurança dos dados?",Usar múltiplas fontes de backup,Aumentar a frequência do backup,Proteção de dados usando criptografia,Comprimir os dados de backup para economizar espaço,C,Middleware
280,Como alternar rapidamente para o diretório inicial do usuário John?,cd @John,cd #John,cd &John,cd ~John,D.,Information security 
281,Qual dos seguintes comandos pode ser usado para converter todos os caracteres em um fluxo para letras maiúsculas?,tr az AZ,tac az AZ,sed /az/AZ,sed --toupper,D.,Information security 
282,Qual comando pode ser usado para visualizar informações de início do Linux?,mesg -d,dmesg,cat /etc/mesg,cat /var/mesg,A,Middleware
283,O nível de execução é definido em?,no kernel,em /etc/inittab,em /etc/runlevels,usando o comando rl,D.,Information security 
284,"Qual é a opção que é o output do seguinte comando? echo ""Hello World"" | tr -d aieou",hello world,eoo,Hll Wrld,eoo Hll Wrld,A,Software architecture
285,O que acontece depois de executar o comando vi sem nenhum parâmetro adicional?,O vi inicia e carrega o último arquivo usado e move o cursor para onde o vi foi últimamente fechado,O vi inicia e pede ao usuário para criar explicitamente um novo arquivo ou carregar um arquivo existente,O vi sai com uma mensagem de erro porque não pode ser invocado sem um nome de arquivo para operar,O vi inicia em modo de comando e abre um novo arquivo vazio,D.,Software architecture
286,Qual comando de shell é usado para retomar a execução de um comando suspenso em background?,&,bg,cont,exec,A,Application
287,Como montar (mount) todos os sistemas de arquivos definidos no arquivo /etc/fstab?, mount -a, mount /mnt/*, mount, mount /etc/fstab,C,Database
288,"Using the ln command will generate a symbolic link new pointing to the file old. If you delete the file old, can you still access the data in the file?",impossible to visit again,still accessible,Access depends on the owner of the file,Access depends on file permissions,C,Information security 
289,"Ao usar o gerenciamento de pacotes RPM, qual comando lista todos os pacotes instalados atualmente?",yum --query --all,yum --list --installed,rpm --query --all,rpm --list --installed,D.,Application
290,Qual dos seguintes comandos precisa ser executado para instalar o servidor web Apache em um sistema Linux?,sudo apt-get update,sudo apt-get install apache2,sudo systemctl start apache2,sudo systemctl enable apache2,B,Middleware
291,"No sistema de arquivos ext2fs, quanto espaço é reservado para o usuário root por padrão?",3%,5%,10%,15%,B,Application
292,Qual comando é usado para exibir a utilização de inodes em cada partição no sistema?,df -i,df -H,free -b,du -a -c /,C,Information security 
293,"Na maioria das distribuições Linux, o nível de operação do modo gráfico é definido como?",1,2,3,5,D.,Software architecture
294,Encontre todas as explicações sobre a palavra 'print' na documentação do sistema?,man print,which print,locate print,apropos print,C,Application
295,O que significa man 5 passwd?,Mostra como usar o comando passwd,Mostra a estrutura do arquivo passwd,Exibe as primeiras cinco linhas da descrição do comando passwd,Exibe as primeiras cinco documentações sobre passwd.,B,Application
296,"Como encontrar e exibir todas as linhas que começam com ""*"" no arquivo?",find * file,wc -l * < file,grep -n *file,grep '^*' file,A,Software architecture
297,Quais parâmetros são usados para exibir os processos de todos os usuários no comando ps?,a,b,u,x,A,Software architecture
298,Qual é o comando para exibir arquivos binários?,od,vil,view,binview,B,Software architecture
299,Como exibir o número de usuários registrados (incluindo usuários do sistema) no sistema Linux?,count -l,/etc/passwd|head,--users /etc/passwd,--lines /etc/passwd,C,Information security 
300,Que símbolo é adicionado no final de uma linha para indicar que ela não terminou e a próxima linha continua?,/,\,;,|,B,Network 
301,Qual é a melhor maneira de verificar um sistema de hospedagem offline?,Encontrar agentes offline do espaço de trabalho de Topologia de Auto-Monitoramento do item Enterprise Navigator,Encontrar Agentes Offline do espaço de trabalho de Status dos Sistemas Gerenciados do item Enterprise Navigator,Expandir a árvore do navegador e procurar sistemas gerenciados que estejam acinzentados para indicar que estão offline,"Do espaço de trabalho de Status da Empresa do item Enterprise Navigator, procurar a mensagem MS_Offline na visualização do espaço de trabalho do Message Log",C,Software architecture
302,O que o comando kill 9 significa?,Mata o processo cujo PID é 9.,Mata todos os processos pertencentes ao UID 9.,Envia SIGKILL para o processo cujo PID é 9.,Envia SIGTERM para o processo cujo PID é 9.,A,Infrastructure
303,Como deletar um subdiretório não vazio /tmp?,del /tmp/*,rm -rf /tmp,rm -Ra /tmp/*,rm -rf /tmp/*,D.,Software architecture
304,Qual comando pode ser usado para executar o comando cmd1 à meia-noite de hoje?,at midnight cmd1,"cron -at ""00:00"" cmd1","batch -t ""00:00"" < cmd1","echo ""cmd1"" |",D.,Software architecture
305,"Seu sistema usa uma estratégia de backup incremental. Quando você precisa restaurar o sistema, em que ordem você precisa restaurar os dados de backup?","Último backup completo, depois os backups incrementais mais antigos até os mais recentes","Último backup completo, depois os backups incrementais dos mais recentes para os mais antigos","Do mais antigo para o mais recente backup incremental, depois o último backup completo","Do mais recente para o mais antigo backup incremental, depois o último backup completo",D.,Software architecture
306,Em qual arquivo devem ser colocadas as configurações variáveis para todos os usuários?,/etc/bashrc,/etc/profile,~/.bash_profile,/etc/skel/.bashrc,B,Software architecture
307,"No sistema Linux, o comando ls é geralmente definido como um alias de ls --color, para identificar diferentes tipos de arquivos com cores diferentes. Mas como posso usar o comando ls original?",\ls,;ls,ls $$,ls --no-alias,C,Network 
308,O que um arquivo de script em um sistema Linux geralmente começa com?, $/bin/sh, #!/bin/sh, use /bin/sh, set shell=/bin/sh,D.,Infrastructure
309,"Qual dos seguintes métodos de escrita significa que, se cmd1 for executado com sucesso, execute o comando cmd2?", cmd1&&cmd2, cmd1|cmd2, cmd1; cmd2, cmd1||cmd2,B,Information security 
310,Em qual arquivo a porta de I/O da placa de rede é definida?,cat /proc/modules,cat /proc/devices,cat /proc/ioports,cat /io/dma,B,Middleware
311,"No Linux, o que é o software que fornece a função de filtragem de pacotes TCP/IP chamado?",rarp,route,iptables,filter,A,Network 
312,"Cenário: Um engenheiro NetScaler está configurando o LACP (Link Aggregation Configuration Protocol) no NetScaler. O engenheiro adiciona as interfaces 10/3 e 10/4 ao LA/1 (que já contém as interfaces 10/1 e 10/2) e as configura para a VLAN 500. A VLAN 100 está vinculada à interface 10/3, e a VLAN 200 está vinculada à interface 10/4. A VLAN 500 está vinculada ao canal LA/1. Ao executar o comando ""show interface"" para visualizar a interface 10/3, qual VLAN é exibida?",1,100,200,500,B,Middleware
313,Como pausar uma fila de impressão?,lpr,lpq,lpc,lpd,B,Network 
314,Qual é o comando para sair sem salvar no vi?,:q,:w,:wq,:q!,D.,Middleware
315,"Na XFree86 3.x, o servidor de fontes padrão é ?",xfs,xfserv,fonts,xfstt,D.,Middleware
316,Qual comando usar para detectar conexões de rede básicas?,ping,route,netstat,ifconfig,C,Information security 
317,Qual dos seguintes protocolos usa mais de dois portos?,telnet,FTP,rsh,HTTP,D.,Infrastructure
318,"No protocolo PPP, qual protocolo de autenticação não transmite a senha em texto claro?",PAM,PAP,PGP,CHAP,C,Middleware
319,Qual dos seguintes sistemas de arquivos deve alocar mais espaço?,/usr,/lib,/root,/bin,A,Infrastructure
320,Como instalar um pacote rpm em um sistema Debian?,alien pkgname.rpm,dpkg --rpm pkgname.rpm,dpkg --alien pkgname.rpm,alien pkganme.rpm ; dpkg -i pkganme.deb,B,Operating system
321,Qual dos seguintes passos exige privilégios de root ao instalar software?,make,make deps,make config,make install,A,Operating system
322,Qual comando é usado para atualizar apenas os pacotes rpm que já foram instalados?,rpm -U *.rpm,rpm -F *.rpm,rpm -e *.rpm,rpm -q *.rpm,C,Infrastructure
323,Qual é o tipo de exceção deste log?,hardware exception,network anomaly,application exception,operating system exception,C,Operating system
324,"Em um sistema de dual-boot de Windows e Linux, se o LILO for gerenciar o boot, o LILO deve ser colocado no?",MBR,/,No primeiro setor da partição raiz,/LILO,C,Application
325,Is the configuration file of ldconfig?, /lib/ld.so, /etc/ld.so.conf, /etc/ld.so.cache, /etc/modules.conf,D.,Middleware
326,Qual dos seguintes comandos pode comprimir alguns arquivos?,tar -czvf filename.tgz *,tar -dzvf filename.tgz *,tar -xzvf filename.tgz *,tar -tzvf filename.tgz *,B,Operating system
327,Qual é o daemon do serviço de rede?, lpd, netd, httpd, inetd,C,Operating system
328,Qual daemon precisa ser fornecido para a interconexão do Internet Neighborhood entre Linux e Windows?,bind,smbd,nmbd,shard,C,Infrastructure
329,"Para o servidor Apache, qual é o usuário padrão fornecido para o processo filho?",root,apache,httpd,nobody,B,Operating system
330,Qual é o local de armazenamento padrão de cartas não enviadas no manual?,/var/mail/,/var/spool/mail/,/var/spool/mqueue/,/var/mail/deliver/,C,Operating system
331,Qual é o principal arquivo de configuração do apache?,httpd.conf,httpd.cfg,access.cfg,apache.conf,B,Operating system
332,"Em relação aos módulos que podem ser carregados, onde são armazenados os parâmetros ao carregar, como endereços de I/O, etc.?",/etc/conf.modules,/etc/lilo.conf,/boot/System.map,/etc/sysconfig,C,Middleware
333,Como desativar as dicas de e-mail no Linux?, biff n, mesg n, notify off,set notify=off,A,Middleware
334,"Na versão 2.0 do ITIL (IT Infrastructure Library) lançada em 2001, o principal framework do ITIL foi expandido em 6 módulos principais, e o ( ) módulo está no centro.",business management,application management,service management,ICT infrastructure management,B,Operating system
335,Que tipo de situação pode causar falha de armazenamento de hardware?,hard drive lost head,internet connection problem,Software update failed,memory overheating,A,Infrastructure
336,"No ambiente do shell bash, quando um comando está sendo executado, pressionar control-Z?",Abortar a tarefa em primeiro plano,Adicionar EOF ao arquivo atual.,Mover tarefas em primeiro plano para o fundo,注销当前用户,C,Operating system
337,Qual é o arquivo de usuário que define o ambiente bash?,bash & .bashrc,bashrc & .bash_conf,bashrc & bash_profile,.bashrc & .bash_profile,C,Information security 
338,Qual dos seguintes comandos é usado para exibir os arquivos de biblioteca usados por um programa?,ldd,ld so,modprobe,ldconfig,C,Operating system
339,Como verificar o local de armazenamento do arquivo de configuração de um software RPM?,rpm -qc rpm1,rpm -Vc rpm1,rpm --config rpm1,rpm -qa --config rpm1,B,Middleware
340,Como verificar o histórico de modificações de um software RPM?,rpm -Vc postfix,rpm -qpil postfix,rpm --changelog postfix,rpm -q --changelog postfix,A,Operating system
341,Qual é o comando para instalar o código compilado através de um Makefile?,make,install,make depend,make install,D.,Operating system
342,Qual comando para descomprimir um arquivo tar?,tar -czvf filename.tgz,tar -xzvf filename.tgz,tar -tzvf filename.tgz,tar -dzvf filename.tgz,D.,Operating system
343,"No arquivo de configuração XF86Config, qual seção é usada para definir o arquivo de fonte?",A seção Fonts.,A seção Files.,A seção xfsCodes.,A seção Graphics.,B,Infrastructure
344,O que se refere a 8 bits de cor?,64K cores,16K cores,256 cores,16M cores,C,Middleware
345,Qual dos seguintes arquivos é utilizado para definir a resolução de exibição da janela X?,xinit,xinitrc,XF86Setup,XF86Config,C,Operating system
346,O que é vazamento de memória?,Uso excessivo de memória,A memória não pode ser alocada,A memória não é liberada corretamente após a alocação,Acesso frequente à memória,B,Operating system
347,Qual variável é usada para especificar para qual servidor X um aplicativo X remoto envia saída?,DISPLAY,TERM,ECHO,OUTPUT,C,Middleware
348,"Na pasta de configuração do xdm, qual arquivo é utilizado para definir a aplicação que é iniciada automaticamente após o usuário fazer login através do xdm?",O arquivo Xsession,O arquivo Xsetup_0,O arquivo Xstart_up,O arquivo GiveConsole,C,Operating system
349,O comando netstat -a parou por um longo tempo sem responder. Qual poderia ser o problema?,NFS.,DNS.,NIS.,routing.,B,Middleware
350,Qual é o protocolo usado pelo ping?,TCP,UDP,SMB,ICMP,D.,Operating system
351,Qual dos seguintes comandos não é usado para visualizar falhas de rede?,ping,init,telnet,netstat,A,Operating system
352,Qual é o protocolo normalmente usado para acesso dial-up à Internet?,PPP,UUCP,SLIP,Ethernet,B,Operating system
353,"No TCP/IP, qual protocolo é usado para alocação automática de IP?",ARP,NFS,DHCP,DNS,B,Operating system
354,Qual dos seguintes arquivos define a porta para o serviço de rede?,/etc/netport,/etc/services,/etc/server,/etc/netconf,C,Operating system
355,Qual das seguintes funções é usada para gerar um checksum de um arquivo?,md5,tar,crypt,md5sum,D.,Operating system
356,"Por padrão, o correio do usuário é colocado em: ?",~/mail/,/var/mail/,/var/mail/spool/,/var/spool/mail/,B,Operating system
357,"Para as informações de log fornecidas abaixo, Jun 15 04:06:18 combo su(pam_unix)[21416]: session opened for user cyrus by (uid=0), qual é a correta?",Anomalístico,sem exceções,Incapaz de determinar se há uma exceção,Informação de log incompleta,A,Infrastructure
358,Qual dos seguintes arquivos contém uma listagem de diretório para uso pelo daemon NFS?,/etc/nfs,/etc/nfs.conf,/etc/exports,/etc/netdir,A,Database
359,Como parar o serviço telnet de uma máquina?,Coloque NONE em /etc/telnet.allow,Coloque uma linha 'ALL:ALL' em /etc/hosts.deny,Comente a entrada telnet em /etc/inittab,Comente a entrada telnet em /etc/xinetd.conf,C,Software architecture
360,In which file are the sendmail aliases kept?,/etc/aliases,/etc/mailaliases,/etc/sendmail.aliases,/etc/sendmail/aliases,C,Infrastructure
361,Qual é o arquivo de configuração para os daemons smbd e nmbd?,/etc/exports,/etc/smb.conf,/etc/samba/config,/usr/local/samba.cfg,A,Operating system
362,Qual dos seguintes comandos é usado para descarregar um módulo do kernel?,rmmod,unmod,delmod,modprobe,D.,Operating system
363,Em que circunstâncias é necessário operar o lilo?,uma vez ao dia a partir do cron,uma vez por semana a partir do cron,após instalar um novo kernel,após instalar um novo módulo,D.,Database
364,Qual comando mostra todos os módulos carregados?,lsmod,dirmod,modules,modlist,B,Operating system
365,Qual dos seguintes comandos limpa a fila da impressora?,lpflush,lprm -,lpclear,lprm all,D.,Information security 
366,Qual dos seguintes comandos pode visualizar a interrupção da placa de rede?,cat /proc/ioports,cat /proc/interrupts,cat /proc/memoryinfo,which interrupts,A,Operating system
367,"Entre os seguintes protocolos de rede, qual é o protocolo orientado à conexão?",Transmission Control Protocol,User Datagram Protocol,Internet Protocol,Internet Control Message Protocol,A,Operating system
368,Qual comando pode alcançar backup de arquivos do site?,mv /var/log/access.log /var/log/archive/$date/access.log,mysqldump -u root -pPASSWORD dbname > /var/backup/$date/dbname.sql,tar -czvf /var/backup/$date/website.tar.gz /var/www/html/,find /var/backup/* -mtime +7 -exec rm -rf {} ;,D.,Operating system
369,"O acesso do arquivo exer1 é rw-rr, agora é necessário aumentar a autoridade de execução de todos os usuários e a autoridade de escrita dos usuários no mesmo grupo, qual dos seguintes comandos está correto?",chmod a+x g+w exer1,chmod g+w exer1,chmod 765 exer1,chmod o+x exer1,B,Application
370,"Quais são os três identificadores de permissões de arquivo leitura, escrita e execução?",wx,xrw,rdx,srw,D.,Operating system
371,Qual é o comando que pode ser usado para criar um novo arquivo?,chmod,more,cp,touch,B,Infrastructure
372,Qual é o comando para arquivar arquivos?,dd,cpio,gzip,tar,D.,Operating system
373,Qual é o comando para mudar o proprietário do arquivo?,chmod,touch,chown,cat,B,Database
374,"Para verificar se a rede de um determinado servidor está desbloqueada, qual é o comando comum?",tracert,ping,tracerout,shou ip route,B,Infrastructure
375,Qual é o comando para verificar o uso de disco sob o Linux?,dd,df,top,netstat,A,Operating system
376,Como desligar o sistema sob Linux?,init 0,reboot,init 6,shutdown -r now,B,Operating system
377,Qual é a tecnologia central adotada pela Internet?,Protocolo TCP/IP,Tecnologia LAN,Tecnologia de Telecomunicação,Tecnologia de fibra óptica,A,Middleware
378,"Nos sistemas Internet, as aplicações de e-mail?",O envio e o recebimento de e-mail geralmente usam o protocolo SMTP,"O envio de e-mail geralmente usa o protocolo SMTP, enquanto o recebimento de e-mail geralmente usa o protocolo POP3","O envio de e-mail geralmente usa o protocolo POP3, enquanto o recebimento de e-mail geralmente usa o protocolo SMTP",O envio e o recebimento de e-mail geralmente usam o protocolo POP3,C,Network 
379,Quais técnicas podem ser empregadas para alcançar consistência e sincronização de dados em clusters de servidores?,Clustering/sharding de banco de dados,Compressão de dados,Enviar e-mail,Identificação de imagem,C,Network 
380,Quais das seguintes afirmações são verdadeiras?,O comando para visualizar o IP sob Linux é ipconfig (deveria ser ifconfig),O comando para resolver o nome de domínio é nslookup,A porta para a Área de Trabalho Remota do Windows é 3306 (deveria ser 3389),"O comando Ping é principalmente usado para detectar se a porta de um determinado IP está aberta (deveria ser: para detectar se a rede está conectada ou não, pode ser um nome de domínio IP)",C,Infrastructure
381,"Entre os seguintes endereços IP, qual é a Classe B?",112.213.12.23,210.213.23.12,23.123.213.23,156.123.32.12,D.,Operating system
382,Qual das seguintes opções não é um requisito para o Windows Calculator adicionar domínios?,Alterar o nome do computador do Windows,Pontos corretos do DNS para,IP do controlador de domínio,Endereço IP do Windows calculator,A,Middleware
383,Qual das seguintes opções atenderá às suas necessidades de instalação de software de desktop?,Usuários com Acesso Direto,Usuários do Ambiente de Trabalho Remoto,Administrador,Usuários,A,Network 
384,Qual dos seguintes bancos de dados corresponde corretamente ao seu número de porta padrão?,Mysql -->5000,SQL Server -->1433,Oracle -->3306,DB2 -->1521,B,Network 
385,Qual é o resultado de omitir a cláusula where da declaração delete?,A declaração delete falhará porque não há registros para deletar,A declaração delete excluirá todos os dados da tabela,A declaração delete solicitará ao usuário que insira os critérios para a exclusão,A declaração delete falhará por causa de um erro de sintaxe,D.,Information security 
386,Um índice de banco de dados pode melhorar significativamente a eficiência dessa operação?,select,insert into...value...,update,delete,A,Infrastructure
387,Qual das seguintes ferramentas pode ser usada como uma ferramenta de conexão de cliente para o banco de dados MySQL?,RDO,SSH,Navicat,PL/SQL,D.,Operating system
