id,question,A,B,C,D,answer,category
130,"A classificação do trabalho de gerenciamento de sistemas de TI pode ser dividida por tipo de sistema e tipo de processo. Se for dividida por tipo de sistema, é geralmente dividida em quatro categorias. O que não está incluído,","Sistema de informação: a plataforma básica de processamento de informações da empresa, diretamente para o departamento de negócios (cliente),","Sistema de rede: a infraestrutura da empresa, a plataforma de suporte central em outros aspectos,","Sistema de pessoal: o fundamento da empresa, o executor de todos os aspectos da gestão,","Sistema operacional; vários sistemas de gestão de operações de TI da empresa, a plataforma de gestão central do departamento de TI",C,System architecture
131,O que é largura de banda do barramento?,"O número total de linhas de sinal utilizadas para transmitir sinais de dados, endereço e controle",O número de bits binários que o barramento pode transmitir simultaneamente,O total de dados transmitidos pelo barramento por unidade de tempo,Tipos de linhas de sinal no barramento,C,Middleware
132,O arquivo de configuração que é necessário ser modificado para configurar o servidor Apache 1.3.19 é:,httpd.conf,access.conf,srm.conf,named.conf,A,Middleware
133,Subsistemas não cobertos pelo kernel são,sistemas de gerenciamento de processos,sistemas de gerenciamento de memória,sistemas de gerenciamento de E/S,sistemas de gerenciamento de hardware,D,Operating system
134,"Em gestão diária, o CPU geralmente afeta o desempenho do sistema quando:",O CPU está rodando em capacidade total,A eficiência operacional do CPU é de 30%,A eficiência operacional do CPU é de 50%,A eficiência operacional do CPU é de 80%,A,Operating system
135,"Se um computador tiver 128MB de memória, o tamanho da partição de swap costuma ser",64MB,128MB,256MB,512MB,C,Infrastructure
136,De que tipo de software se trata o software que converte o programa-fonte escrito em linguagem C em um programa-objeto?,compilação,compilador,explicar,assembly,B,Software architecture
137,Qual é o critério primário para a medição da qualidade do desenvolvimento de sistemas?,Atender aos indicadores técnicos,atender os requisitos do designer,Atender os requisitos do usuário,especificações,C,Software architecture
138,"A etapa cinco no processo de instalação do Linux é permitir que o usuário escolha o método de instalação. Se o usuário desejar instalar alguns componentes (programas de software) e deixar o sistema instalá-los automaticamente após a seleção, a opção que deve ser selecionada é:",completo,especialistas,iniciantes,menu,D,Operating system
139,"O sistema Linux possui três comandos para visualização de arquivos. Se você deseja utilizar o cursor para movimentar para cima e para baixo e ver os conteúdos do arquivo durante o processo de visualização dos conteúdos do arquivo, qual comando deve ser utilizado?",cat,more,less,menu,C,Operating system
140,"A seguinte informação é a lista de processos em execução, obtida em um sistema com o comando ps -ef, qual processo está executando o super servidor da Internet, o qual é responsável por escutar as conexões nas sockets da Internet e chamar o servidor apropriado para processar as informações recebidas?",root 1 4.0 0.0 344 204? S 17:09 0:00 init,root 2 0.0 0.1 2916 1520? S 17:09 0:00 /sbin/getty,root 3 0.0 0.2 1364 632? S 17:09 0:00 /usr/sbin/syslogd,root 4 0.0 1344 1204? S 17:09 0:10 /usr/sbin/inetd,D,Application
141,"De acordo com a análise da organização de pesquisa de mercado GartnerGroup sobre as causas de falhas de tempo de inatividade não planejado, as falhas que causam tempo de inatividade não planejado são divididas em três categorias. Qual das opções a seguir não se encaixa nas categorias definidas por ela?",falha técnica,falha de aplicativo,falha operacional,"Falhas catastróficas, como terremotos",D,Information security 
142,"No modelo TCP/IP, a camada de aplicação inclui todos os protocolos de alto nível. Dentre os protocolos de aplicação abaixo, qual é a capacidade de transferir arquivos entre hosts locais e remotos?",telnet,FTP,SNMP,NFS,B,Network 
143,"Quando não conseguimos nos conectar a uma rede remota, precisamos traçar a rota para ver onde ocorre o problema na rede. O comando para atender a este propósito é:",ping,ifconfig,traceroute,netstat,C,Network 
144,"If the file named fido is modified with chmod 551 fido, its permission is:",#NAME?,#NAME?,#NAME?,-r-xr-x--x,D,Operating system
145,"Uma empresa de comércio eletrônico utiliza um sistema de informações para gerenciar produtos e pedidos, então o que tipo de sistema deveria ser?",sistema focado no emprego,Sistemas de Controle de Gerenciamento,Sistema Orientalizado por Planejamento Decisional,Sistemas Orientados por Agregação de Dados,A,Application
146,"Use o comando ls -al para listar a seguinte lista de arquivos, qual é o arquivo um tipo de link simbólico?",-rw-rw-rw- 2 hel-s users 56 Set 09 11:05 hello,-rwxrwxrwx 2 hel-s users 56 Set 09 11:05 goodbye,drwxr–r– 1 hel users 1024 Set 10 08:10 zhang,lrwxr–r– 1 hel users 2024 Set 12 08:12 cheng,D,Operating system
147,Qual é o comando do sistema Linux usado para enviar mensagens para outros usuários?,less,mesg,write,echo to,C,Operating system
148,O que é o sistema NFS?,document,disco,arquivo de rede,operar,C,Operating system
149,Qual é o comando que pode concluir a cópia de backup de arquivos para fita no sistema de segurança Linux?,cp,tr,dir,cpio,B,Operating system
150,"Os arquivos do sistema de arquivos do Linux são classificados em diretórios relevantes de acordo com suas funções. Para arquivos de dispositivos externos, em que pasta eles devem ser colocados?",/bin,/etc,/dev,/lib,C,Infrastructure
151,Qual comando deve ser usado para escrever as informações na memória no disco rígido enquanto o sistema Linux é reiniciado?,# reboot,# halt,reboot,shutdown –r now,D,Operating system
152,"Em relação à discussão sobre o servidor proxy, a correta é:","Usar um proxy server público existente na Internet, sendo necessária a configuração apenas no cliente.",O servidor proxy pode apenas encaminhar requisições HTTP de clientes.,O servidor proxy configurado pode ser usado por qualquer host na rede.,Clientes que utilizam servidores proxy não possuem endereços IP próprios.,A,Middleware
153,"No modo de comando do editor vi, digite o que para adicionar uma nova linha abaixo da linha em que o cursor está atualmente localizado.",<a>;,<o>;,<I>;,A,B,Infrastructure
154,"In the command mode of the vi editor, what command can be used to repeat the last operation on the edited text?",up arrow,down arrow,.<>;,*.>;,C,Application
155,"Entre os nomes abaixo, aqueles que não pertencem ao tipo de servidor DNS são:",Servidor Primário Master,Servidor Secundário Master,samba,Servidor Cache-only,C,Network 
156,"Os administradores de rede controlam o acesso aos servidores WWW, controlam acesso e operação, etc., e esses controles podem ser refletidos em que arquivos",httpd.conf,lilo.conf,inetd.conf,resolv.conf,A,Network 
157,"o agente de reencaminhamento de email também é chamado de servidor de reencaminhamento de email. Ele pode usar o protocolo SMTP, ou quais outros protocolos ele pode usar,",FTP,TCP,UUCP,POP,C,Middleware
158,"Existem duas formas de iniciar o processo do servidor Samba: o método de inicialização independente e o método de inicialização do processo principal, no qual o primeiro é iniciado como um processo independente no arquivo.",/usr/sbin/smbd,/usr/sbin/nmbd,rc.samba,/etc/inetd.conf,C,Middleware
159,DHCP é a abreviação de Dynamic Host Configuration Protocol. Sua função é permitir que administradores de rede gerenciem um sistema de rede através de um servidor e atribuam endereços automaticamente a hosts em uma rede,rede,MAC,TCP,IP,D,Network 
160,"Para garantir que o processo DHCP seja iniciado automaticamente quando o servidor é iniciado, a configuração dhcpd=no no arquivo deverá ser modificada para dhcpd=yes.",rc.inet1,lilo.conf,inetd.conf,httpd.conf,A,Infrastructure
161,O comando para arquivar o arquivo é:,dd,cpio,gzip,tar,D,Middleware
162,O comando para alterar o dono do arquivo é,chmod,touch,chown,cat,C,Operating system
163,O comando para encontrar uma string que corresponde à condição definida em um arquivo é:,grep,gzip,find,sort,A,Middleware
164,O comando que pode ser usado para criar um novo arquivo é,chmod,more,cp,touch,D,Infrastructure
165,"Entre os comandos abaixo, o comando que não pode exibir o conteúdo do arquivo de texto é:",more,less,tail,join,D,Operating system
166,"Quando se utiliza o login anônimo no FTP, o username é",usuários,anônimo,root,convidado,B,Application
167,"Em funcionamento real, se deseja compreender o uso do comando logname, você pode digitar o que para obter ajuda,",logname –man,logname/?,help logname,logname –help,D,Operating system
168,"Se o LILO estiver instalado no MBR, qual comando pode ser usado para desinstalar o LILO",lilo –u,lilo -c,lilo –v,lilo -V,A,Operating system
169,"Ao utilizar o comando `ls -al` para visualizar arquivos e diretórios, caso deseje fazer com que o conteúdo seja desfilado na tela, você deve utilizar a combinação de teclas",Shift+Início,Ctrl+PgUp,Alt+ PgDn,Shift+ PgUp,D,Operating system
170,mc é um sistema operacional do estilo UNIX,editor de arquivo/compilador de programa,Ferramenta do Windows para configurar a rede,Navegador de Diretório/Gerenciador de Arquivo,Ferramenta de gerenciamento do servidor Samba,C,Operating system
171,A quantidade máxima de caracteres em nomes de arquivos Linux não pode exceder esse número.,64,128,256,512,C,Operating system
172,"Qual é o algoritmo no qual o esquema de criptografia é baseado no protocolo de criptografia de rede sem fio formulado pelo padrão IEEE802.11i (por favor, responda este item)",RC4,CCMP,WEP,WPA,B,Information security 
173,"Em um computador com o protocolo TCP/IP instalado, quando a conexão de rede não estiver disponível, para testar o programa de rede escrito, qual é o endereço IP do host de destino geralmente utilizado?",0.0.0.0,127.0.0.0,10.0.0.1,210.225.21.255/24,B,Network 
174,Um processo tem três estados:,"Estado de preparedo, execução e saída","Estado exato, estado em nebulosa e estado aleatório","Estado em execução, estado preparedo e estado de espera","Estado manual, estado automático e estado livre",C,Operating system
175,"Para iniciar o processo em segundo plano, você deve colocar o sinal no final do comando",&,@,#,$,A,Middleware
176,Não parte do sistema de email é o,user agent,proxy server,transfer agent,delivery agent,B,Application
177,"Dentre os endereços IP abaixo, a qual host IP pertence à rede 10.110.12.29/255.255.255.224?",10.110.12.0,10.110.12.30,10.110.12.31,10.110.12.32,B,Network 
178,Which of the following descriptions about the number and address of private addresses is correct?,Class A has 16.777.216 addresses: 10.0.0.0~10.255.255.255,Class B has 65.536 addresses: 172.16.0.0~172.31.0.0,Class B has 65.536 addresses: 169.254.0.0~169.255.255.255 (Link Local),Class C has 65.536 addresses: 192.168.0.0~192.168.255.0,D,Network 
179,"Em um script de shell, o comando usado para ler o conteúdo de cada campo em um arquivo e atribuí-lo a uma variável de shell é,",fold,join,tr,read,D,Middleware
180,"O arquivo crontab consiste em seis campos, cada um separado por um espaço, conforme a seguinte organização:",MINUTO HORA DIA MES ANO COMANDO,MINUTO HORA DIA MES DIASEMANA COMANDO,COMANDO HORA DIA MES DIASEMANA,COMANDO ANO MES DIA HORA MINUTO,B,Middleware
181,"Durante o uso do FTP para transferência de arquivos, existem dois modos:",Word (palavra) e binário,.txt e Documento do Word,.txt e Documento do Word,ASCII e RTF (Formato de Texto Enriquecido),C,Network 
182,"Se o primeiro grupo de arquivo tem permissão de leitura apenas para membros externos; o proprietário tem permissão completa; o grupo tem permissão de leitura e gravação, então a permissão de arquivo é:",467,674,476,764,D,Infrastructure
183,O número do porta de conexão padrão do servidor Apache é,1024,800,80 (http),8,C,Middleware
184,"O endereço IP de um host na LAN é 202.116.1.12/21, qual é a máscara de sub-rede da LAN?",255.255.255.0,255.255.252.0,255.255.248.0,255.255.240.0,C,Network 
185,"Dentre os endereços IP abaixo, qual opção não pode ser usada como endereço de destino?",100.10.255.255,127.0.0.1,0.0.0.0,10.0.0.1,C,Network 
186,A utilização conjunta de PHP e MySQL resolve,Gerenciar problemas de acesso ao banco de dados no Proxy,Tratar acessos ilegais de Hackers no Servidor WWW,Tratar problemas de acesso ao banco de dados no Servidor WWW,Tratar problemas de acesso ao banco de dados no sistema de email Sendmail,C,Database
187,OpenSSL é um,software de criptografia,sistema de email,sistema de gerenciamento de banco de dados,linguagem de programação de script embutido,A,Middleware
188,O arquivo de configuração do servidor Samba é,httpd.conf,inetd.conf,rc.samba,smb.conf,D,Application
189,"Para sair do shell no modo interativo, você deve digitar:",<Esc>;,^q,exit,quit,C,Operating system
190,"Se um firewall fechar os portões TCP e UDP para as portas 21, 25 e 80, qual é a opção para aplicativos que podem acessar a rede?",FTP,Web,SMTP,Telnet,D,Network 
191,"Em relação ao servidor DNS, a afirmativa correta é:",A configuração do servidor DNS não requer configuração de cliente,"Ao estabelecer um servidor DNS para uma partição específica, é necessário estabelecer apenas um servidor DNS primário","O servidor DNS primário deve iniciar o processo named, mas o servidor DNS secundário não deve",O arquivo root.cache do servidor DNS contém informações sobre o servidor de nome raiz,D,Network 
192,"Instale o disco rígido C: do Windows (hda1) no diretório /winsys do sistema de arquivos Linux, o comando é",root@l04.edu.cn:~# mount /dev/hda1 /winsys,root@l04.edu.cn:~# mount /dev/hda1 /winsys (correção de digitação),"Correção incorreta, use a opção B","Correção incorreta, use a opção B",B,Infrastructure
193,As bandeiras para arquivos de tipo de dispositivo de caractere são:,p,b,o s,l,B,Operating system
194,"O comando para instalar o CD-ROM (hdc) no diretório /mnt/cdrom do sistema de arquivos é,",mount /mnt/cdrom,mount /mnt/cdrom /dev/hdc,mount /dev/hdc /mnt/cdrom,mount /dev/hdc,C,Operating system
195,O comando para desmontar o disco /dev/hdc é,umount /dev/hdc,unmount /dev/hdc,umount /mnt/cdrom /dev/hdc,unmount /mnt/cdrom /dev/hdc,C,Operating system
196,Quais das seguintes identificadores não podem identificar exclusivamente um site do IIS 6.0 de forma única?,Endereço IP,Porta de comunicação,Cabeçalho do host,Nome do site,D,Middleware
197,O arquivo executável é carregado em memória e os tipos de vírus que podem se espalhar são,boot vírus,vírus de arquivo,vírus de email,vírus worm,B,Information security 
198,Os comandos que podem completar as tarefas de resolução inversa e direta de nome do host e endereço IP são:,nslookup,arp,ifconfig,dnslook,A,Operating system
199,o que é qmail?,protocolo para recebimento de email,um tipo de servidor de email,protocolo para envio de email,fila de email,B,Application
200,"É sabido que um usuário específico, stud1, possui um diretório de usuário de /home/stud1. O comando para exibir informações, tais como nome do arquivo ou diretório, grupo de usuários, usuário, tamanho do arquivo, permissões de arquivo ou diretório e hora de criação de todos os arquivos no diretório atual usando paginação é,",more ls –al,more – all ls,more < ls –al,ls –al | more,D,Application
201,"Em caso de se desejar configurar um servidor FTP anônimo, qual arquivo deve ser modificado?",/etc/gateway,/etc/ftpservers,/etc/ftpusers,/etc/inetd.conf,C,Middleware
202,Quais dois componentes o processo de servidor Samba consiste?,named e sendmail,smbd e nmbd,bootp e dhcpd,httpd e squid,B,Software architecture
203,"Faltas são quaisquer problemas do próprio sistema ou operações que não atendam aos padrões no funcionamento do sistema, o que pode ou está causando interrupção do serviço e degradação de qualidade. As características de falhas incluem os seguintes fatores: ① Influência, ② Urgência, ③ Prioridade,",①②③,①②,①③,②④,A,Application
204,"Por meio da análise de TCO (Total Cost of Ownership ou Custo Total de Posse), podemos constatar quantas vezes o custo real da IT ultrapassa o custo de aquisição em média, sendo a maioria dos custos não relacionados à tecnologia, mas ocorrendo no processo de gerenciamento de serviços contínuos.",1,5,10,20,B,Middleware
205,Quais são os métodos comumente utilizados em análise de requisitos?,Análise Estruturada e Análise Orienta-a-Objetos,Análise Orienta-a-Objetos e Diagrama de Fluxo de Dados,Observação e Questionário,Análise Estruturada e Benchmarking,A,Software architecture
207,"As principais funções de gerenciamento de auditoria de segurança do usuário são a coleta, proteção e análise de dados de auditoria de segurança do usuário; por favor, selecione a opção que inclui inspeção, detecção de anomalias, análise de violações e análise de intrusões.",Análise de dados de auditoria de segurança do usuário,Proteção de dados de auditoria de segurança do usuário,Coleta de dados de auditoria de segurança do usuário,Coleta e análise de dados de auditoria de segurança do usuário,A,Information security 
208,Qual opção não pertence à função principal de assinatura digital?,Garantir a integridade da transmissão de informações,Impedir que os dados sejam roubados durante a transmissão,Realizar a autenticação de identidade do remetente,Impedir que o remetente negue a assinatura da mensagem posteriormente,B,Information security 
210,"Em relação ao plano de gerenciamento de sistemma do lado do usuário, qual opção pode fornecer o 'sistema nervoso central' para o complexo sistema de TI, que coleta continuamente informações relevantes de hardware, software e serviços de rede, do ponto de vista de componentes, sistemas de negócios e da empresa inteira? Monitoramento de comércio eletrônico.",Gerenciamento de Desempenho e Disponibilidade de TI,Participação de usuários em Gerenciamento de TI,Gerenciamento de Segurança do Usuário Final,central de ajuda,A,Information security 
211,Qual dos seguintes é um statement incorreto sobre diagramas de fluxo de dados?,O diagrama de fluxo gráfico é hierárquico e deve ser expandido camada por camada do topo para baixo,Os símbolos no diagrama de fluxo de dados devem ser dispostos razoavelmente e distribuídos uniformemente,O diagrama de fluxo de dados deve refletir o processo técnico e o método de processamento de dados,"Ao desenhar o diagrama de fluxo de dados, é necessário manter contato próximo com o usuário e modificá-lo constantemente",C,Software architecture
212,What kind of error is the subroutine call error found in the system test?,function error,system error,data error,programming error,B,Application
213,O que é a avaliação de confiabilidade do sistema?,alvo de avaliação,avaliação funcional,avaliação de desempenho,Avaliação dos Efeitos Econômicos,C,System architecture
214,Qual é o índice que indica o número de pixels que a tela possui na direção horizontal (linha).,resolução de exibição,resolução horizontal,resolução vertical,profundidade de exibição,B,Infrastructure
215,Qual é a memória interna de um sistema de computador composta por?,Flash memory,ROM,memória auxiliar,memória de semicondutor,D,Infrastructure
216,Quais são as três estruturas de controle básicas de um programa (ou algoritmo),"sequência, reverso e fora de ordem","Sequência, seleção e loops","Recursão, recursão e loops","Sequência, encadeamento e indexação",B,Software architecture
217,O que é a avaliação de confiabilidade do sistema?,avaliação alvo,avaliação funcional,avaliação de desempenho,Avaliação dos efeitos econômicos,C,Infrastructure
218,Qual das seguintes opções não faz parte da estrutura de hardware do sistema de informação?,centralizado,Anel (Ring),distribuído,distribuído-centralizado,B,Infrastructure
219,"O estabelecimento de informação empresarial requer uma grande quantidade de investimento de capital, e os itens de custo são muitos e a quantia é grande. Quais dos itens de custo das despesas de construção de informação empresarial se encaixa no custo de sistema de alternância?",Custo de compra de equipamentos,Taxa de instalação,Despesa de pesquisa e desenvolvimento,Custo de operação e manutenção do sistema,D,Application
220,"Se o programa de aplicativo necessitar emitir dados através da impressora durante a execução, geralmente forma um trabalho de impressão primeiro e o armazena em um local específico do disco rígido. Quando a impressora estiver ociosa, os trabalhos pendentes são extraídos dela e impressos em ordem de chegada.",pilha,fila,matriz,string,B,Middleware
221,"Na fase de requisitos, o dicionário de dados deve definir ao menos o que garanta que o cliente e o time de desenvolvimento estão usando definições e terminologia consistentes.",item de dados do cliente,estrutura de dados,processo,entidade externa,A,Software architecture
222,"Antes de decidir sobre um projeto de aplicativo de sistema de informações de gerenciamento, o que deve ser feito no desenvolvimento de sistemas?",trabalho de investigação detalhada,Análise de viabilidade,projeto lógico,projeto físico,B,Application
223,"O título registrado de produtos de software de uma empresa de software é S. Para garantir que a empresa tenha vantagem na competição de mercado, os funcionários estão restritos à confidencialidade. Neste caso, a empresa não tem direitos sobre o produto de software,",direitos de segredo comercial,direitos autorais,patente,direitos de marca registrada,C,Information security 
224,"Em gerenciamento de recursos populacionais do centro de informações, as cidades acima do nível do condado são classificadas por sua população, e o número de série é o código da cidade, como 001 para Shanghai, 002 para Beijing, e 003 para Tianjin. Esse método de codificação pertence a:",mnemonics,last digit,sequence code,interval code,C,Application
225,"Na configuração SNMP na figura abaixo, o que pode responder ao pedido getRequest do Manager2?",gent1,Agent2,Agent3,Agent4,A,Network 
226,Quais são os principais componentes do CPU?,"Unidades Aritméticas, Controle e ├OTs de ├ Bus","Unidade Aritmética, banco de registros e memória interna","Unidades Aritméticas, Controle e bancos de registros","Controlador, Decodificador de Instruções e Banco de Registros",C,Infrastructure
227,"O gerenciamento de dispositivos de rede é uma parte importante da gestão de recursos de rede. Em equipamentos de rede, o que um gateway pertence?",Equipamento de interconexão de camada de transmissão de dados,Equipamento de interconexão de camada física de rede,Interconexão de link de dados,Dispositivos interconectados na camada de aplicativos,D,Network 
228,"Na descrição a seguir sobre o código de verificação, qual é a opção correta,",Códigos de Hamming usam a paridade de vários grupos de dígitos para detectar e corrigir erros,A distância de código dos códigos de Hamming deve ser maior ou igual a 1,O código de verificação cíclica possui fortes capacidades de detecção e correção de erros,A distância de código do código de verificação cíclico deve ser 1,A,Information security 
229,"Para uma árvore binária não vazia, se você primeiro visita cada sub-árvore do nó raiz e, em seguida, visita o nó raiz, o que é geralmente chamado de travessia?",pré-ordem de travessia,travessia em ordem,travessia pós-ordem,travessia em nível,C,Information security 
230,"Partindo dos erros expostos pelos testes, coletando todos os dados corretos ou incorretos, analisando a relação entre eles, propondo uma causa hipotética do erro e utilizando esses dados para comprovar ou refutar, de forma a descobrir onde está o erro, é um método de solução de problemas que método em tecnologia da informação e computação é conhecido como",Backtracking,heuristics,Induction,deduction,C,Application
231,"Após a execução dos testes case desenhados, analisar os resultados dos testes, localizar a causa e o local específico do erro, e corrigir (excluir) o método de detecção costuma se referir a",black box testing,Debugging,white box testing,structural testing,B,Software architecture
232,"Após a conclusão do sistema de informação, de acordo com as características do sistema de informação, os requisitos da avaliação do sistema e os princípios de composição do sistema de índice de avaliação específico, o sistema de informação pode ser avaliado em três aspectos. Essas avaliações geralmente não incluem a opção a seguir,",Avaliação do Desempenho Técnico,Avaliação do Benefício de Gerenciamento,Avaliação do Benefício Econômico,Avaliação do Benefício Social,D,Software architecture
233,"Capability Maturity Model Integration (CMMI) é a síntese e melhoria de vários modelos de processo. Os modelos de representação fornecidos pelo CMMI incluem o modelo contínuo e o modelo em estágios, e o modelo contínuo inclui 6 níveis de maturidade de capacidade de processo, que modelam o uso de meios quantitativos (estatísticos) para alterar e otimizar a área de processo em resposta às alterações nos requisitos do cliente e a eficácia das áreas de processo no plano de melhoria contínua.",CL2 (gerenciado),CL3 (definido),CL4 (gerenciamento quantitativo),CL5 (otimizado),D,Software architecture
234,"A parallelismo refere-se à característica de um sistema de computador que pode executar cálculos ou operações ao mesmo tempo, qual(is) dos seguintes itens estão incluídos:",Simultaneidade e Concorrência,Sincronização e Assincronicidade,Simultaneidade e sincronicidade,Concorrência e Assincronicidade,A,System architecture
235,O método de ciclo de vida divide o processo de desenvolvimento do sistema de gerenciamento em que,"análise de sistemas, organização de sistemas, manutenção de sistemas","projeto de sistemas, implementação de sistemas, manutenção de sistemas","análise de sistemas, organização de sistemas, implementação de sistemas","análise de sistemas, projeto de sistemas, implementação de sistemas",D,Software architecture
236,"A gestão da tecnologia da informação em nível empresarial pode ser dividida em três níveis: planejamento estratégico, gerenciamento de sistema, gerenciamento técnico e suporte, nos quais a maioria das tarefas de planejamento estratégico é concluída por quem na empresa.",o topo da gestão,o pessoal do departamento de TI,gerente geral,diretor financeiro,A,System architecture
237,"Qual é o tipo de padrão da norma GB8567-88 Compilation Guidelines for Computer Software Product Development Documentation? Se você violar este padrão e causar consequências adversas, estará sujeito a punição administrativa ou responsabilidade criminal de acordo com a gravidade das circunstâncias.",padrão obrigatório do estado,padrão obrigatório da indústria de software,recomendado pelo país,recomendado pela indústria de software,A,Information security 
238,"Em direitos autorais, qual direito tem um prazo ilimitado de proteção?",direito de publicação,direitos de distribuição,autoria,direitos de exibição,C,Information security 
239,"O escopo do gerenciamento de custos do sistema é amplamente dividido em duas categorias, ou seja, custos fixos e custos variáveis. Dentre eles, os custos variáveis referem-se a despesas diárias que não estão relacionadas à formação de ativos. Dentre os itens listados abaixo, aqueles que não pertencem aos custos fixos são,",Custos operacionais,Custos de construção e custos de site,Custo de recursos humanos,Custo de empreitada,A,Application
240,O conteúdo do manual do sistema não inclui,Fundo e metas do projeto,Visão geral do projeto,Plano de implementação,Resultados da implementação,D,Software architecture
241,"As informações sobre operações chaves, operações anormais, falhas, monitoramento de desempenho e logs de auditoria de segurança durante a operação do sistema IT devem compor um relatório de operação do sistema correspondente para facilitar a análise e melhorar a gerência do sistema. Entre as seguintes opções, o que não faz parte do escopo do relatório de operação do sistema é,",Relatório Financeiro da Empresa,Log de Operação Diário do Sistema,Relatório de Planejamento de Desempenho/Capacidade,Log de Auditoria de Segurança,A,Information security 
242,"Para gerenciar recursos de software empresarial, é necessity identificar primeiro o que e quais documentos estão em execução na empresa, classificá-los e registrá-los em arquivos.",software,o código,instrução,hardware,A,Application
243,O propósito do uso de memória virtual em um computador é,melhorar a velocidade de acesso a armazenamento externo,melhorar a velocidade de acesso à memória,expandir o espaço de endereçamento de memória externa,expandir o espaço de endereçamento de memória,D,Infrastructure
244,Qual dos seguintes é um statement incorreto sobre a UML?,UML é uma linguagem de documentação,UML é uma linguagem de construção,UML é uma linguagem de programação,UML é a Linguagem de Modelagem Unificada,C,Software architecture
245,"A gestão de distribuição de software é uma parte importante da gestão de infraestrutura, que pode melhorar o nível de automação do manutenção do IT, realizar a padronização do uso de software dentro da empresa e reduzir o custo de manter recursos de IT.",implantação de software,Codificação e teste,Distribuição de patchs de segurança,Gerenciamento e controle remoto,B,Information security 
246,A porta de dados padrão usada pelo protocolo FTP é,20,80,25,vinte e três,A,Network 
247,"Dado de forma geral, o suporte a usuários deverá determinar primeiramente o escopo do suporte aos usuários. Nas opções a seguir, qual alternativa não é incluída no escopo de suporte geral aos usuários?",Serviço de Atualização de Software,Serviço de suporte técnico a software,Serviço de suporte de hotline remoto,Suporte a operações cross-platform de software por tempo indeterminado,D,Application
248,"De acordo com a análise da empresa de pesquisa de mercado GartnerGroup sobre as causas do tempo de inatividade não planejado, os falhanços que causam tempo de inatividade não planejado são divididos em três categorias. Qual das seguintes opções não pertence às três categorias definidas por eles?",falha técnica,falha de aplicativo,falha operacional,Falhas catastróficas como terremotos,D,Information security 
249,"As funções principais de gestão de auditoria de segurança do usuário incluem a coleta, proteção e análise de dados de auditoria de segurança do usuário, sendo que uma das seguintes opções inclui inspeção, detecção de anomalias, análise de violação e análise de intrusão.",Análise de dados de auditoria de segurança do usuário,Proteção de dados de auditoria de segurança do usuário,Coleta de dados de auditoria de segurança do usuário,Coleta e análise de dados de auditoria de segurança do usuário,A,Information security 
250,"Para realizar a gestão de recursos de rede corporativa, é primordial identificar, primeiramente, quais recursos de rede estão incluídos na empresa atual. A qual categoria de equipamentos de interconexão de meios de transmissão de rede (conector T, módem, etc) pertence?",linha de comunicação,serviço de comunicação,equipamento da Internet,software de rede,C,Network 
251,"A característica da pilha é a de último-a-chegar-primeiro-a-sair. Se una lista ligada for usada como estrutura de armazenamento da pilha, e o ponteiro head for usado como ponteiro do topo da pilha, então a descrição a seguir está correta,",As operações push e pop não precisam percorrer a lista ligada.,Tanto as operações push quanto pop precisam percorrer a lista ligada.,"A operação push precisa percorrer a lista ligada, mas a operação pop não.",A operação push não precisa percorrer a lista ligada enquanto a operação pop precisa.,A,Information security 
252,"Existem três aspectos principais dos conteúdos de trabalho envolvidos na gestão de pessoal do departamento de TI, o que não inclui uma das opções a seguir,",Avaliação do uso de recursos de rede do usuário,Design da organização e responsabilidades de TI,Educação e treinamento de funcionários de TI,Gestão de terceiros/Externalização,A,Application
253,"Método de prototipagem para o desenvolvimento de sistemas de informação, forneça primeiro um protótipo e depois continue aprimorando-o, o que é o protótipo?",Modelo Lógico do Sistema,modelo físico do sistema,Modelo Conceitual de Engenharia de Sistemas,modelo executável,D,Application
254,"A avaliação de desempenho de sistemas de computador é uma tecnologia que testa o desempenho do computador e explica os resultados dos testes por meio de modelagem e experimentos, de acordo com determinados passos e selecionando determinados itens de medição. Entre os métodos de avaliação do desempenho do sistema, o método de medição é o método mais direto e básico. Existem três tipos de problemas que precisam ser resolvidos usando o método de medição. Entre as seguintes opções, qual opção não pertence aos problemas a serem resolvidos?",Selecionar a carga de trabalho no momento da medição,Escolher métodos e ferramentas de medição,Reduzir os ciclos de execução ao mínimo,"Determinar, de acordo com o objetivo e as necessidades de avaliação do sistema, os parâmetros do sistema a serem medidos",C,Application
255,Falhas tanto de software quanto de hardware podem destruir os dados do banco de dados. Qual das seguintes descrições sobre recuperação de banco de dados está correta?,Reinstale o sistema de gerenciamento de banco de dados e aplicativos,Reinstale o aplicativo e faça o espelhamento do banco de dados,Reinstale o sistema de gerenciamento de banco de dados e faça o espelhamento do banco de dados,Restaure o banco de dados para o estado anterior ao ocorrido do falha em o menor tempo possível,D,Database
256,Qual dos seguintes é um statement sobre a execução de instruções de pipeline incorreto?,O pipelining melhora a velocidade de execução de uma única instrução,Várias instruções podem ser executadas ao mesmo tempo em modo de pipeline,O método de linha de montagem melhora a taxa de utilização de cada componente,O pipelining melhora a taxa de throughput do sistema,A,Operating system
257,"Comparado com o TCP, a vantagem do UDP é",ter menos overhead,conter controle de congestionamento,ter controle de fluxo,garantir transmissão confiável,B,Network 
258,"A estrutura B/S de três camadas inclui navegadores, servidores e o quê:",interpretador,sistema de arquivos,cache,banco de dados,D,Network 
